optg,mktg,total
"AA","AA",0
"AA","AF",0
"AA","AM",0
"AA","AV",0
"AA","BA",24448
"AA","DL",0
"AA","KL",0
"AA","LH",0
"AA","LY",6375
"AA","OS",0
"AA","OZ",0
"AA","QF",6632
"AA","QR",5778
"AA","SA",0
"AA","SK",0
"AA","TP",0
"AA","UA",0
"AA","US",0
"AA","UX",0
"AF","AA",0
"AF","AF",0
"AF","AM",147
"AF","AV",0
"AF","BA",0
"AF","DL",1389
"AF","KL",739
"AF","LH",0
"AF","LY",0
"AF","OS",23
"AF","OZ",0
"AF","QF",0
"AF","QR",0
"AF","SA",0
"AF","SK",0
"AF","TP",0
"AF","UA",0
"AF","US",0
"AF","UX",317
"AM","AA",0
"AM","AF",1625
"AM","AM",0
"AM","AV",282
"AM","BA",0
"AM","DL",1
"AM","KL",1049
"AM","LH",0
"AM","LY",0
"AM","OS",0
"AM","OZ",0
"AM","QF",0
"AM","QR",0
"AM","SA",0
"AM","SK",0
"AM","TP",0
"AM","UA",0
"AM","US",0
"AM","UX",5969
"AV","AA",0
"AV","AF",0
"AV","AM",266
"AV","AV",0
"AV","BA",0
"AV","DL",0
"AV","KL",0
"AV","LH",162
"AV","LY",0
"AV","OS",0
"AV","OZ",0
"AV","QF",0
"AV","QR",0
"AV","SA",0
"AV","SK",0
"AV","TP",0
"AV","UA",231
"AV","US",0
"AV","UX",0
"BA","AA",5505
"BA","AF",0
"BA","AM",0
"BA","AV",0
"BA","BA",0
"BA","DL",0
"BA","KL",25
"BA","LH",0
"BA","LY",0
"BA","OS",0
"BA","OZ",0
"BA","QF",89
"BA","QR",16
"BA","SA",0
"BA","SK",0
"BA","TP",0
"BA","UA",0
"BA","US",841
"BA","UX",0
"DL","AA",0
"DL","AF",26400
"DL","AM",0
"DL","AV",0
"DL","BA",0
"DL","DL",0
"DL","KL",29821
"DL","LH",0
"DL","LY",0
"DL","OS",0
"DL","OZ",0
"DL","QF",0
"DL","QR",0
"DL","SA",0
"DL","SK",0
"DL","TP",0
"DL","UA",0
"DL","US",0
"DL","UX",3739
"KL","AA",0
"KL","AF",572
"KL","AM",12
"KL","AV",0
"KL","BA",0
"KL","DL",1011
"KL","KL",0
"KL","LH",0
"KL","LY",0
"KL","OS",0
"KL","OZ",0
"KL","QF",0
"KL","QR",0
"KL","SA",0
"KL","SK",0
"KL","TP",0
"KL","UA",0
"KL","US",0
"KL","UX",77
"LH","AA",0
"LH","AF",0
"LH","AM",0
"LH","AV",62
"LH","BA",0
"LH","DL",0
"LH","KL",0
"LH","LH",0
"LH","LY",0
"LH","OS",662
"LH","OZ",0
"LH","QF",0
"LH","QR",0
"LH","SA",676
"LH","SK",1913
"LH","TP",1509
"LH","UA",3660
"LH","US",0
"LH","UX",0
"LY","AA",0
"LY","AF",0
"LY","AM",0
"LY","AV",0
"LY","BA",0
"LY","DL",0
"LY","KL",0
"LY","LH",0
"LY","LY",0
"LY","OS",0
"LY","OZ",0
"LY","QF",0
"LY","QR",0
"LY","SA",0
"LY","SK",0
"LY","TP",0
"LY","UA",0
"LY","US",0
"LY","UX",0
"OS","AA",0
"OS","AF",56
"OS","AM",0
"OS","AV",0
"OS","BA",0
"OS","DL",0
"OS","KL",0
"OS","LH",576
"OS","LY",0
"OS","OS",0
"OS","OZ",0
"OS","QF",0
"OS","QR",0
"OS","SA",0
"OS","SK",129
"OS","TP",279
"OS","UA",149
"OS","US",0
"OS","UX",0
"OZ","AA",0
"OZ","AF",0
"OZ","AM",0
"OZ","AV",0
"OZ","BA",0
"OZ","DL",0
"OZ","KL",0
"OZ","LH",0
"OZ","LY",0
"OZ","OS",0
"OZ","OZ",0
"OZ","QF",2
"OZ","QR",0
"OZ","SA",2
"OZ","SK",0
"OZ","TP",0
"OZ","UA",46
"OZ","US",0
"OZ","UX",0
"QF","AA",996
"QF","AF",0
"QF","AM",0
"QF","AV",0
"QF","BA",84
"QF","DL",0
"QF","KL",0
"QF","LH",0
"QF","LY",0
"QF","OS",0
"QF","OZ",0
"QF","QF",0
"QF","QR",0
"QF","SA",0
"QF","SK",0
"QF","TP",0
"QF","UA",0
"QF","US",0
"QF","UX",0
"QR","AA",1387
"QR","AF",0
"QR","AM",0
"QR","AV",0
"QR","BA",518
"QR","DL",0
"QR","KL",0
"QR","LH",0
"QR","LY",0
"QR","OS",0
"QR","OZ",26
"QR","QF",0
"QR","QR",0
"QR","SA",0
"QR","SK",0
"QR","TP",0
"QR","UA",0
"QR","US",753
"QR","UX",0
"SA","AA",0
"SA","AF",0
"SA","AM",0
"SA","AV",0
"SA","BA",0
"SA","DL",0
"SA","KL",0
"SA","LH",153
"SA","LY",0
"SA","OS",0
"SA","OZ",6
"SA","QF",0
"SA","QR",0
"SA","SA",0
"SA","SK",21
"SA","TP",26
"SA","UA",36
"SA","US",42
"SA","UX",0
"SK","AA",0
"SK","AF",0
"SK","AM",0
"SK","AV",0
"SK","BA",0
"SK","DL",0
"SK","KL",0
"SK","LH",1634
"SK","LY",0
"SK","OS",597
"SK","OZ",0
"SK","QF",0
"SK","QR",0
"SK","SA",158
"SK","SK",0
"SK","TP",0
"SK","UA",991
"SK","US",0
"SK","UX",0
"TP","AA",0
"TP","AF",0
"TP","AM",0
"TP","AV",0
"TP","BA",0
"TP","DL",0
"TP","KL",0
"TP","LH",168
"TP","LY",0
"TP","OS",67
"TP","OZ",0
"TP","QF",0
"TP","QR",0
"TP","SA",67
"TP","SK",0
"TP","TP",0
"TP","UA",175
"TP","US",93
"TP","UX",0
"UA","AA",0
"UA","AF",0
"UA","AM",0
"UA","AV",4390
"UA","BA",0
"UA","DL",0
"UA","KL",0
"UA","LH",22967
"UA","LY",0
"UA","OS",3668
"UA","OZ",3760
"UA","QF",0
"UA","QR",0
"UA","SA",4846
"UA","SK",15144
"UA","TP",3940
"UA","UA",0
"UA","US",0
"UA","UX",0
"US","AA",0
"US","AF",0
"US","AM",0
"US","AV",0
"US","BA",3847
"US","DL",0
"US","KL",0
"US","LH",0
"US","LY",0
"US","OS",0
"US","OZ",0
"US","QF",0
"US","QR",1242
"US","SA",1509
"US","SK",0
"US","TP",624
"US","UA",0
"US","US",0
"US","UX",0
"UX","AA",0
"UX","AF",3091
"UX","AM",3737
"UX","AV",0
"UX","BA",0
"UX","DL",1861
"UX","KL",3653
"UX","LH",0
"UX","LY",0
"UX","OS",0
"UX","OZ",0
"UX","QF",0
"UX","QR",0
"UX","SA",0
"UX","SK",0
"UX","TP",0
"UX","UA",0
"UX","US",0
"UX","UX",0